Percentage of population below poverty level:Here,Occupations of males:Percentage of males in computer and mathematical occupations:Here:,Males:Females:,Housing prices::This neighborhood:,Neighborhood,:Here,Housing prices::Here,Education in this neighborhood (subdivision or community):Percentage of people 3 years and older in K-12 schools:Here,Occupations of males:Percentage of males in business and financial operations occupations:Here:,Average number of cars or other vehicles available in apartments:Here:,Average number of cars or other vehicles available in houses/condos:This neighborhood:,Males:Females:Median age:Males:This neighborhood:,Area:Population:Population density:Here,Area:,Median rent in 2015:Here,Zip codes:,Occupations of males:Percentage of males in community and social services occupations:Here:,Percentage of people born in this state:Here:,HereHere,Average household size:Here,Percentage of people 16-64 in Armed Forces:Here,Percentage of people that speak English not well or not at all:Here,Occupations of males:Percentage of males in management occupations (except farmers):Here:,Percentage of units with a mortgage:Here,Percentage of married-couple families with both working:Here,Percentage of never married males 15 years old and over:Here,Median household income in 2015:Here,"Occupations of males:Percentage of males in education, training, and library occupations:Here:",Males:,Area:Population:,Here
27.6%,,"7,877",,South park,2007,"$371,285",13.7%,,,1.6,33.3 years,"20,883",0.753,"$1,785",90017,,43.7%,5+ bedrooms: 88,2.0 people,0.2%,18.4%,20.7%,62.0%,73.5%,29.3%,"$43,435",,"7,846","15,724",5+ bedrooms: 54
11.6%,,"17,760",,West LA,2004,"$838,566",12.1%,,,1.6,35.4 years,"18,359",1.975,"$1,549",90064,,38.5%,5+ bedrooms: 96,2.1 people,0.0%,6.1%,14.5%,69.8%,59.2%,29.2%,"$73,384",,"18,496","36,263",5+ bedrooms: 156
34.3%,,"7,760",,Arroyo Seco,1996,"$361,840",23.0%,,,1.6,30.0 years,"17,673",0.825,$849,90033,,51.6%,5+ bedrooms: 180,3.5 people,,25.7%,1.7%,52.2%,62.2%,24.8%,"$32,697",,"6,819","14,576",5+ bedrooms: 52
27.0%,,"3,685","$746,523",Financial District,2010,,10.9%,,,1.6,33.1 years,"40,637",0.201,"$1,835",90071,,42.2%,5+ bedrooms: 26,1.8 people,0.6%,12.3%,25.3%,64.7%,86.4%,34.9%,"$45,742",,"4,476","8,166",5+ bedrooms: 0
4.1%,,"20,185",,Bel Air,2000,"$2,046,567",26.0%,,,2.2,49.2 years,"4,273",9.141,"$2,179",90210,,40.9%,5+ bedrooms: 366,2.6 people,0.1%,1.4%,23.6%,72.1%,68.3%,13.4%,"$164,344",,"18,871","39,053","5+ bedrooms: 2,267"
29.6%,,"3,422",,Fashion District,2008,,23.0%,,,1.9,44.6 years,"9,713",0.701,"$1,190",90021,,45.7%,5+ bedrooms: 572,1.5 people,,15.6%,12.3%,75.6%,65.7%,36.7%,"$28,398",,"3,384","6,807",5+ bedrooms: 0
10.3%,,802,,Colorado Boulevard,1996,"$648,426",17.8%,,,2.1,44.6 years,"8,771",0.171,"$1,107",90065,,49.0%,5+ bedrooms: 0,2.7 people,,6.2%,10.5%,68.6%,95.8%,18.7%,"$71,654",,702,"1,504",5+ bedrooms: 13
38.8%,,"145,798",,Southeast Los Angeles,2000,"$281,521",27.4%,,,2.3,28.0 years,"20,123",14.178,$891,90059,,54.1%,"5+ bedrooms: 2,497",4.3 people,0.0%,27.5%,1.9%,76.0%,55.4%,29.0%,"$31,902",,"139,505","285,293","5+ bedrooms: 1,813"
7.3%,,"12,126",,Century City,2003,"$1,421,391",13.8%,,,1.7,37.4 years,"11,646",1.949,"$1,875",90067,,38.4%,5+ bedrooms: 291,2.3 people,,5.7%,17.5%,74.4%,72.6%,21.4%,"$96,672",,"10,579","22,699",5+ bedrooms: 221
7.7%,,"25,141",,Brentwood,2002,"$3,379,206",17.1%,,,4.2,40.9 years,"2,864",15.963,"$1,915",90272,,46.1%,5+ bedrooms: 876,2.4 people,0.3%,2.4%,24.4%,65.4%,93.3%,18.1%,"$129,556",,"20,604","45,726","5+ bedrooms: 1,985"
27.2%,,"2,718",,Thai Town,2007,"$613,734",11.3%,,,2.4,40.2 years,"46,052",0.123,$965,90027,,30.5%,5+ bedrooms: 48,2.5 people,,27.0%,8.3%,40.9%,52.5%,27.9%,"$26,396",,"2,963","5,683",5+ bedrooms: 68
25.2%,,"11,429",,Little Armenia,1994,"$510,917",11.9%,,,2.5,39.4 years,"31,569",0.721,$969,90029,,28.3%,5+ bedrooms: 127,2.5 people,,22.8%,5.4%,53.8%,64.3%,25.0%,"$29,292",,"11,343","22,774",5+ bedrooms: 165
14.4%,,"3,298",,Helms District,1998,"$589,007",11.7%,,,2.0,36.1 years,"11,247",0.567,"$1,408",90232,,39.1%,5+ bedrooms: 0,2.3 people,0.1%,7.2%,8.7%,68.8%,78.5%,22.6%,"$69,785",,"3,083","6,381",5+ bedrooms: 35
38.1%,,"1,194",,Chinatown,1997,,20.4%,,,2.0,34.2 years,"7,156",0.320,$994,90012,,38.3%,5+ bedrooms: 16,2.8 people,,29.0%,1.8%,69.1%,63.5%,27.1%,"$64,184",,"1,094","2,288",5+ bedrooms: 13
30.5%,,"52,614",,Boyle Heights,1996,"$342,265",23.2%,,,2.2,31.0 years,"17,646",6.177,$923,90063,,52.1%,"5+ bedrooms: 1,280",3.9 people,,29.0%,2.5%,64.1%,55.0%,27.8%,"$39,894",,"56,356","108,995",5+ bedrooms: 739
21.7%,,"11,537",,Crenshaw,1996,"$584,350",20.3%,,,2.1,40.5 years,"8,622",2.424,"$1,018",90016,,52.4%,5+ bedrooms: 331,2.2 people,0.0%,5.9%,7.2%,76.1%,65.3%,23.3%,"$58,377",,"9,366","20,895",5+ bedrooms: 301
43.7%,,"22,076",,Downtown Los Angeles,2008,"$371,285",10.0%,,,1.6,38.1 years,"12,060",4.417,"$1,051",90021,,45.5%,5+ bedrooms: 654,1.9 people,0.1%,13.4%,15.3%,57.8%,64.5%,37.5%,"$44,598",,"31,138","53,262",5+ bedrooms: 321
7.4%,,"6,900",,Atwater Village,1999,,20.1%,,,2.2,37.9 years,"6,617",2.075,"$1,438",91204,,41.7%,5+ bedrooms: 0,2.6 people,,10.8%,5.9%,64.5%,62.8%,21.9%,"$57,422",,"6,831","13,731",5+ bedrooms: 241
19.5%,,"1,208",,Cypress Park,1990,,18.5%,,,2.0,31.3 years,"21,141",0.120,$979,90065,,51.2%,5+ bedrooms: 0,3.7 people,0.0%,28.5%,2.0%,46.1%,42.1%,26.4%,"$39,724",,"1,319","2,528",5+ bedrooms: 13
64.2%,,451,,Toy District (Central City East),2009,,8.4%,9.7%,,23.6,53.1 years,"18,823",0.118,$354,90014,,46.8%,5+ bedrooms: 95,1.3 people,,1.0%,,91.8%,100.8%,50.4%,"$13,725",,"1,765","2,223",5+ bedrooms: 0
29.9%,,"29,519",,Graham,1999,"$305,704",29.0%,,,2.3,27.1 years,"17,522",3.304,$974,90002,,57.9%,5+ bedrooms: 489,4.4 people,,24.0%,2.2%,76.3%,66.1%,23.3%,"$36,782",,"28,359","57,892",5+ bedrooms: 685
21.5%,,"16,213",,Glassel Park,1997,"$596,145",21.7%,,,2.1,37.5 years,"13,137",2.474,"$1,051",90065,,44.1%,5+ bedrooms: 188,2.9 people,,21.3%,5.6%,67.3%,61.2%,24.1%,"$71,159",,"16,279","32,495",5+ bedrooms: 149
17.6%,,"1,858",,Rosewood Park (Rosewood),1992,"$352,305",36.8%,,,2.3,35.4 years,"2,227",1.648,$946,90040,,61.0%,5+ bedrooms: 110,3.6 people,0.4%,15.8%,5.6%,51.7%,113.6%,26.1%,"$43,157",,"1,812","3,671",5+ bedrooms: 15
10.1%,,"14,059",,Media District,2003,"$983,891",12.6%,,,2.1,37.7 years,"6,494",4.257,"$1,846",91608,,41.7%,5+ bedrooms: 132,2.0 people,,3.0%,15.8%,78.0%,67.8%,23.1%,"$94,730",,"13,569","27,648",5+ bedrooms: 653
21.4%,,"71,644",,East L.A. (The Eastside),1997,"$389,975",23.1%,,,2.1,33.3 years,"19,428",7.520,$972,90063,,53.3%,5+ bedrooms: 617,3.7 people,0.0%,28.3%,3.3%,65.3%,64.1%,22.7%,"$44,314",,"74,487","146,092",5+ bedrooms: 772
15.2%,,738,,Hermon,1998,"$433,529",19.5%,,,1.9,39.8 years,"2,385",0.556,"$1,245",90042,,47.4%,5+ bedrooms: 38,2.8 people,0.3%,14.9%,17.0%,67.7%,168.2%,20.4%,"$76,398",,588,"1,325",5+ bedrooms: 11
18.0%,,"11,272",,Monterey Hills,1998,"$444,006",20.9%,,,1.9,35.4 years,"8,802",2.505,"$1,135",91030,,54.7%,5+ bedrooms: 134,3.0 people,0.1%,14.9%,6.8%,67.5%,78.8%,22.2%,"$55,548",,"10,781","22,054",5+ bedrooms: 178
13.5%,,470,,SoFo,2003,,10.4%,,,1.6,40.1 years,"12,460",0.061,"$1,518",90046,,26.8%,5+ bedrooms: 16,1.8 people,,0.0%,56.1%,72.7%,55.5%,25.0%,"$69,524",,284,754,5+ bedrooms: 10
14.3%,,"2,454",,Center City,2005,,9.7%,,,1.2,42.5 years,"29,837",0.162,"$1,417",90046,,31.9%,5+ bedrooms: 45,1.6 people,,5.6%,27.6%,72.6%,71.2%,37.6%,"$53,589",,"2,394","4,848",5+ bedrooms: 28
9.2%,,"56,281",,Playa Del Rey,1999,"$876,135",16.7%,,,2.0,38.4 years,"9,109",11.772,"$1,719",90293,,55.0%,"5+ bedrooms: 1,276",2.5 people,0.0%,1.9%,18.5%,73.1%,84.7%,22.6%,"$89,061",,"50,971","107,232","5+ bedrooms: 2,269"
21.6%,,"29,737",,Highland Park,2001,"$511,887",21.6%,,,2.1,34.4 years,"15,128",3.815,"$1,056",90042,,49.5%,5+ bedrooms: 523,3.2 people,0.0%,20.1%,5.5%,74.7%,72.2%,24.7%,"$63,470",,"27,974","57,707",5+ bedrooms: 418
